name,creatorRef,lastEditorRef,ingredient1,ingredient2,ingredient3,type
Destroy All Monsters (Kaijû sôshingeki),002,002,Chinese Foods - Cantonese,Ice Cream Bar - Hageen Daz To,Basil - Seedlings Cookstown,DRINK
Internes Can't Take Money,005,005,Beef - Roasted,Beef - Salted,Oregano - Dry,MAIN_DISH
Abraham Lincoln: Vampire Hunter,001,004,Sprouts - Onion,Cleaner - Bleach,Beets - Candy Cane,ADDIOTIONAL_DISH
Kabul Express,003,006,Irish Cream - Baileys,Longos - Chicken Caeser Salad,Cheese - Ricotta,MAIN_DISH
Tyler Perry's Meet the Browns,001,001,Crackers - Soda / Saltins,Sour Cream,Flavouring - Rum,ADDIOTIONAL_DISH
Small Town Girl,002,001,Sauce - Thousand Island,Wine - Pinot Noir Latour,Ice Cream Bar - Oreo Sandwich,ADDIOTIONAL_DISH
"Suddenly, Last Summer",001,005,Salt - Table,Knife Plastic - White,Veal - Nuckle,MAIN_DISH
Carnage,004,006,Steamers White,Wine - Black Tower Qr,Pastry - Carrot Muffin - Mini,ADDIOTIONAL_DISH
"Stewart Lee: If You Prefer a Milder Comedian, Please Ask for One",005,001,Potatoes - Purple,Rice - Aborio,Bread Base - Goodhearth,DRINK
Alien Trespass,006,001,Tuna - Loin,Pears - Anjou,Mustard - Individual Pkg,MAIN_DISH
Battle of the Bulge,001,003,Chocolate - Pistoles,Juice - Apple,Veal - Nuckle,ADDIOTIONAL_DISH
"Children of the Century, The (Enfants du siècle, Les)",006,001,Rice - Aborio,Fond - Neutral,Kaffir Lime Leaves,MAIN_DISH
Octopussy,002,005,Sobe - Lizard Fuel,Wine - Pinot Noir Mondavi Coastal,Flour Dark Rye,MAIN_DISH
"Yours, Mine and Ours",005,004,Cabbage - Nappa,Corn - Mini,Bread - Petit Baguette,MAIN_DISH
Manufacturing Dissent,006,005,Chicken Breast Wing On,Turkey Leg With Drum And Thigh,Tuna - Salad Premix,MAIN_DISH
Carry On Teacher,006,006,Icecream - Dstk Strw Chseck,Bandage - Flexible Neon,Napkin - Beverage 1 Ply,DRINK
K2,003,002,Glucose,Wine - Wyndham Estate Bin 777,Chips - Miss Vickies,MAIN_DISH
"Misérables, Les",005,006,Alize Red Passion,Wine - Pinot Noir Pond Haddock,Puree - Raspberry,MAIN_DISH
10 Years,004,005,Milk - 1%,Soup - Knorr,Soup - Campbells Beef Noodle,ADDIOTIONAL_DISH
Sometime in August (Mitte Ende August),004,003,Cookies Almond Hazelnut,Chips - Miss Vickies,Oil - Food,MAIN_DISH
Endangered Species,003,004,Beer - Corona,Chocolate - White,Sauerkraut,ADDIOTIONAL_DISH
Marvin Gaye: What's Going On,001,006,Numi - Assorted Teas,Carrots - Mini,Pork - Ground,DRINK
The Missing,001,002,Cheese - Comtomme,Irish Cream - Baileys,Barley - Pearl,MAIN_DISH
Walkabout,003,003,Oats Large Flake,Milk - Homo,Shrimp - Black Tiger 13/15,DRINK
Shanghai Ghetto,004,002,Energy Drink - Franks Pineapple,Scallops 60/80 Iqf,Longos - Chicken Cordon Bleu,MAIN_DISH
Abraham's Valley (Vale Abraão),003,002,Lettuce - California Mix,Beer - Moosehead,Cheese - Brie,MAIN_DISH
Alex and Emma,001,004,Wine - Red,Cookie Trail Mix,Cheese - Havarti,DRINK
"Beautician and the Beast, The",001,003,Nutmeg - Ground,Bamboo Shoots - Sliced,Cactus Pads,MAIN_DISH
Somm,003,001,Soup Campbells Turkey Veg.,Extract - Almond,Tomato - Peeled Italian Canned,ADDIOTIONAL_DISH
Kevin Hart: I'm a Grown Little Man,002,004,Flounder - Fresh,Beef - Tenderlion,Bread - Sticks,DRINK
"Childhood of Maxim Gorky, The (Detstvo Gorkogo)",005,006,Wine - Red,Ham - Virginia,Bread - Petit Baguette,DRINK
Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null),005,003,Nut - Pine Nuts,Vodka - Lemon,Extract - Almond,ADDIOTIONAL_DISH
Sword of the Stranger (Sutorejia: Mukô hadan),006,005,Rum - Cream,Pasta - Cannelloni,Lettuce Romaine Chopped,DRINK
American Me,002,002,Soup - Campbells Chili,Pur Source,Bread - French Stick,DRINK
Meatballs III,002,002,Juice - Grape,Muffin Hinge Container 6,Lettuce - Boston Bib,DRINK
This Woman Is Dangerous,005,002,Sauce - Balsamic Viniagrette,Pastry - Carrot Muffin - Mini,Cabbage - Nappa,ADDIOTIONAL_DISH
Alligator,003,005,Lettuce - Frisee,Butter Balls Salted,Tomatoes,DRINK
Cold Comes the Night,006,004,Coconut - Creamed,Basil - Primerba,Wine - Two Oceans Sauvignon,MAIN_DISH
"Ketchup Effect, The (Hip Hip Hora!)",005,005,Avocado,Crush - Grape,Beef - Baby,MAIN_DISH
Favorite Deadly Sins,002,006,Eggplant - Asian,Cookie Dough - Oatmeal Rasin,Pail - 4l White,DRINK
Aces High,005,006,Oneshot Automatic Soap System,Langers - Cranberry Cocktail,Butter - Unsalted,DRINK
Experiment Perilous,002,005,Vol Au Vents,Bandage - Fexible 1x3,Miso - Soy Bean Paste,ADDIOTIONAL_DISH
Back in Business,001,004,Bread - Pita,Wine - Ej Gallo Sierra Valley,Wine - White,MAIN_DISH
Initial D (Tau man ji D),002,006,Rum - Coconut,Knife Plastic - White,Cookie Trail Mix,ADDIOTIONAL_DISH
Intohimon vallassa,004,005,Tart - Raisin And Pecan,Oil - Cooking Spray,Cheese - Havarti,ADDIOTIONAL_DISH
Supermarket Woman (Sûpâ no onna),006,004,Orange Roughy 4/6 Oz,Ketchup - Tomato,Tamarind Paste,ADDIOTIONAL_DISH
Harriet the Spy,003,004,Apron,Crackers - Water,Cherries - Frozen,MAIN_DISH
"Light Bulb Conspiracy, The",001,004,Island Oasis - Magarita Mix,Wine - Segura Viudas Aria Brut,Energy Drink Bawls,ADDIOTIONAL_DISH
Suburban Gothic,003,001,Salt - Table,Eggplant - Asian,Puree - Blackcurrant,DRINK
Off Beat,003,006,Bamboo Shoots - Sliced,Salt - Table,Garam Marsala,MAIN_DISH
Nightcrawler,002,003,Napkin White,Lemonade - Natural,Soup - Knorr,MAIN_DISH
"Abominable Dr. Phibes, The",006,001,Beets,Potatoes - Idaho 80 Count,Veal - Round,MAIN_DISH
"Devil's Playground, The",005,001,Honey - Comb,Pepper - White,Cleaner - Bleach,ADDIOTIONAL_DISH
She Wore a Yellow Ribbon,004,006,Pears - Fiorelle,Pepper - Red Bell,Pork - Bacon Cooked Slcd,ADDIOTIONAL_DISH
Another Chance,003,001,Wine - Masi Valpolocell,Bread - Pita,Pork - Backfat,DRINK
In Search of a Midnight Kiss,006,005,Juice - Clam,Liners - Banana,Cheese - Parmesan Cubes,ADDIOTIONAL_DISH
Why Not? (Eijanaika),006,004,Liners - Banana,Scallops - Live In Shell,Nut - Pine Nuts,MAIN_DISH
Prince Valiant,006,005,Wine - Black Tower Qr,Hagen Daza - Dk Choocolate,Beef - Tenderloin,MAIN_DISH
"Dead Zone, The",004,002,Coffee - Frthy Coffee Crisp,Hold Up Tool Storage Rack,Bar Mix - Pina Colada,DRINK
Opportunity Knocks,003,006,Wine - Magnotta - Bel Paese White,Longos - Penne With Pesto,Sherry - Dry,DRINK
A Gun for Jennifer,001,005,Appetizer - Cheese Bites,Garbag Bags - Black,Pepper - Red Chili,DRINK
After the Wedding (Efter brylluppet),004,002,Muffin Mix - Banana Nut,Lobster - Cooked,Juice - Orange 1.89l,ADDIOTIONAL_DISH
Last Summer,004,002,Brownies - Two Bite,Truffle Paste,Canada Dry,DRINK
"Accidental Husband, The",004,006,Kellogs Special K Cereal,Oil - Cooking Spray,Brownies - Two Bite,MAIN_DISH
"Same River Twice, The",005,001,Beer - Upper Canada Light,Cheese - Brick With Pepper,Juice - Prune,DRINK
The Floating Castle,001,004,Dome Lid Clear P92008h,Cookies Cereal Nut,Roe - Lump Fish,MAIN_DISH
Greenwich Village: Music That Defined a Generation ,003,002,Chocolate - Liqueur Cups With Foil,Cheese - Parmesan Grated,Soup - Knorr,ADDIOTIONAL_DISH
Strange Invaders,004,001,Beef - Ground Medium,Irish Cream - Baileys,Ham - Cooked Italian,ADDIOTIONAL_DISH
Strangers When We Meet,005,003,Fondant - Icing,Puree - Raspberry,Juice - Orange 1.89l,DRINK
Witches' Hammer (Kladivo na carodejnice) ,001,003,Calvados - Boulard,Chicken - Leg / Back Attach,Sweet Pea Sprouts,ADDIOTIONAL_DISH
Ethan Mao,006,001,Cardamon Ground,Ecolab Crystal Fusion,Ice Cream Bar - Hageen Daz To,DRINK
"Quiet Duel, The (Shizukanaru ketto)",002,001,Cleaner - Bleach,Lid Coffeecup 12oz D9542b,Greens Mustard,ADDIOTIONAL_DISH
"Omega Code, The",003,002,Tea - Jasmin Green,Wine - Cotes Du Rhone,Ecolab Crystal Fusion,MAIN_DISH
Remington and the Curse of the Zombadings,004,002,Cup - 4oz Translucent,Rice - Sushi,Watercress,MAIN_DISH
All the Vermeers in New York,003,005,Bread - Olive Dinner Roll,Numi - Assorted Teas,Pur Value,ADDIOTIONAL_DISH
Half Nelson,006,005,Coffee - Frthy Coffee Crisp,Lettuce - Iceberg,Sprouts - Baby Pea Tendrils,DRINK
Yatterman (Yattâman),005,001,Shrimp - 31/40,Scallops 60/80 Iqf,Fenngreek Seed,DRINK
Rat King,002,003,Hagen Daza - Dk Choocolate,Graham Cracker Mix,Towel Multifold,ADDIOTIONAL_DISH
Killer Force,003,005,Munchies Honey Sweet Trail Mix,Sobe - Lizard Fuel,Sprite,ADDIOTIONAL_DISH
Blood and Roses (Et mourir de plaisir) (To Die with Pleasure),005,006,Corn - Mini,Allspice - Jamaican,Roe - Flying Fish,DRINK
Triangle (Tie saam gok),002,001,Cornflakes,Venison - Liver,Roe - Flying Fish,ADDIOTIONAL_DISH
Tears of Steel,003,003,Coconut - Whole,Schnappes - Peach,Bag - Regular Kraft 20 Lb,DRINK
Echelon Conspiracy,004,006,Langers - Mango Nectar,Pasta - Lasagne,Shrimp - Black Tiger 6 - 8,MAIN_DISH
Zu: Warriors from the Magic Mountain (Xin shu shan jian ke),003,004,Cookie Dough - Oatmeal Rasin,Muffin - Mix - Bran And Maple 15l,Appetizer - Shrimp Puff,DRINK
Arthur,005,006,Jam - Strawberry,Boogies,Knife Plastic - White,DRINK
"Night in the Life of Jimmy Reardon, A",004,005,Fudge - Cream Fudge,Flavouring - Raspberry,Sauce - Alfredo,DRINK
Man of the Year,001,005,Beer - Moosehead,Danishes - Mini Cheese,Doilies - 8,DRINK
How She Move,005,004,Chocolate - White,Mustard - Individual Pkg,Hold Up Tool Storage Rack,DRINK
Night Moves,006,004,Banana - Leaves,Beef - Bresaola,Pepper - Red Chili,DRINK
"After Dark, My Sweet",005,003,Oranges,Allspice - Jamaican,Pepper - Yellow Bell,DRINK
Valhalla,003,002,Wine - Red,Juice - Lagoon Mango,Dill Weed - Fresh,MAIN_DISH
Undercover Man,001,002,Wine - Sauvignon Blanc,Wine - Pinot Grigio Collavini,Lettuce - California Mix,MAIN_DISH
Rules of Single Life (Sinkkuelämän säännöt),005,006,Wine - Fino Tio Pepe Gonzalez,Evaporated Milk - Skim,Wine - Sicilia Igt Nero Avola,MAIN_DISH
Circle of Deceit (Die Fälschung),004,005,Carbonated Water - Peach,Wine - Winzer Krems Gruner,Sherry - Dry,DRINK
St Trinian's 2: The Legend of Fritton's Gold,006,001,Celery Root,Wine - Sake,Juice - Orange 1.89l,MAIN_DISH
Down in the Valley,005,002,Wine - Winzer Krems Gruner,Aspic - Clear,Fruit Mix - Light,ADDIOTIONAL_DISH
"Canal, The",005,003,Truffle Cups - Brown,Bread - French Stick,Pork - Bacon,DRINK
Holy Smoke,002,003,Beef - Bones,Basil - Seedlings Cookstown,Halibut - Steaks,ADDIOTIONAL_DISH
"Softening of the Egg, The (Ägget är löst!)",003,005,Sauce - Alfredo,Flour - Bread,Toothpick Frilled,DRINK
Gregory Go Boom,001,002,Tart Shells - Sweet,Nut - Pine Nuts,Truffle Paste,MAIN_DISH
Ruby Cairo,001,003,Doilies - 8,Aspic - Light,Cookies Cereal Nut,MAIN_DISH
Nightwatch,003,002,Fond - Neutral,Salt - Table,Aspic - Light,MAIN_DISH
American Heart,004,004,Garlic - Elephant,Hold Up Tool Storage Rack,Beer - Corona,MAIN_DISH
"Parent Trap, The",006,005,Venison - Liver,Muffin Mix - Carrot,Milk Powder,MAIN_DISH
Fame,005,004,Beer - Muskoka Cream Ale,Island Oasis - Lemonade,Pepper - Sorrano,MAIN_DISH
Beefcake,004,004,Jameson Irish Whiskey,Tea - Herbal I Love Lemon,Wine - Cabernet Sauvignon,ADDIOTIONAL_DISH
"Temptress, The",004,003,Wine - Marlbourough Sauv Blanc,Truffle Cups - Brown,Ecolab - Ster Bac,ADDIOTIONAL_DISH
"Devil's Advocate, The",001,005,Pork - Caul Fat,Pail - 4l White,Ham - Procutinni,MAIN_DISH
"Kingdom, The (Riget)",006,004,Gatorade - Fruit Punch,Wine - Gewurztraminer Pierre,Pur Value,DRINK
Kundun,006,006,Nutmeg - Ground,Bonito Flakes - Toku Katsuo,Seedlings - Clamshell,MAIN_DISH
Operation Dumbo Drop,003,004,Spinach - Spinach Leaf,Sage - Fresh,Sole - Dover,ADDIOTIONAL_DISH
"Undertaker and His Pals, The",003,006,Wine - Magnotta - Belpaese,Puree - Guava,Fondant - Icing,MAIN_DISH
"Adventures of Tintin, The",004,005,Cheese - Brie,Bag Clear 10 Lb,Energy Drink - Franks Original,MAIN_DISH
Beneath,003,003,Oysters - Smoked,Basil - Fresh,Pear - Prickly,MAIN_DISH
Blind Mountain (Mang shan),005,001,Cheese - Brie,Aspic - Clear,Bagel - Everything,MAIN_DISH
"House of the Spirits, The",001,003,Chicken - Wieners,Aromat Spice / Seasoning,Oil - Grapeseed Oil,ADDIOTIONAL_DISH
Portrait of Wally,003,003,Nut - Pine Nuts,Bread - Roll,Fork - Plastic,ADDIOTIONAL_DISH
Corman's World: Exploits of a Hollywood Rebel,004,004,Tobasco Sauce,Basil - Thai,Wine - Baron De Rothschild,ADDIOTIONAL_DISH
New York Stories,006,004,Truffle Cups Green,Bandage - Fexible 1x3,Towel Multifold,MAIN_DISH
Gasland Part II,006,005,Squash - Butternut,Juice - Apple,Tuna - Bluefin,DRINK
Doppelganger,004,003,Pork - European Side Bacon,Carrots - Mini,Lychee,DRINK
Friends with Kids,002,006,Wine - Magnotta - Red,Bandage - Flexible Neon,Tilapia - Fillets,DRINK
"Bo Burnham: Words, Words, Words",006,001,Teriyaki Sauce,Lemonade - Kiwi,Garam Marsala,MAIN_DISH
"Corridor, The (Koridorius)",004,005,Icecream Bar - Del Monte,Flower - Leather Leaf Fern,Wiberg Super Cure,ADDIOTIONAL_DISH
Promised Land,005,002,Basil - Thai,Bread Base - Goodhearth,Limes,ADDIOTIONAL_DISH
"Good Fairy, The",006,006,Milk - 1%,Sugar - Splenda Sweetener,Nut - Walnut,DRINK
Castle of Blood,006,001,Wine - Rubyport,Wine - Red,Beans - Long,DRINK
Prison Break: The Final Break,005,005,Yogurt - Banana,Puree - Guava,Brownies - Two Bite,DRINK
Heart and Souls,003,001,Truffle Cups - Red,Jam - Strawberry,Veal - Round,MAIN_DISH
Dark Mirror,005,004,Wine - Chardonnay South,Garam Marsala,Bread Foccacia Whole,MAIN_DISH
"Diamond Arm, The (Brilliantovaya ruka)",006,002,Soup - Knorr,Anchovy In Oil,Cheese - Asiago,ADDIOTIONAL_DISH
Bernard and Doris,003,003,Sauce - Rosee,Wine - Red,Energy Drink - Redbull 355ml,MAIN_DISH
Promise of the Flesh (Yukcheui yaksok),005,004,Pea - Snow,Cookie Dough - Oatmeal Rasin,Nescafe - Frothy French Vanilla,DRINK
Aurora Borealis,005,002,Aspic - Light,Pie Shells 10,Wine - Pinot Noir Mondavi Coastal,MAIN_DISH
Bionicle: Mask of Light (Bionicle: Mask of Light - The Movie),004,004,Sauce - Bernaise,Compound - Passion Fruit,Bread Foccacia Whole,DRINK
"400 Blows, The (Les quatre cents coups)",004,005,Wine - Two Oceans Sauvignon,Muffin Mix - Chocolate Chip,Chocolate - Milk Coating,DRINK
Devil's Diary,006,001,Steamers White,Cheese - Pied De Vents,Soup Campbells Turkey Veg.,DRINK
Myn Bala: Warriors of the Steppe,005,001,Soup - Knorr,Cheese - Wine,Bread - Multigrain,DRINK
City for Conquest,001,004,Nut - Walnut,Soup - Campbells,Cocoa Feuilletine,ADDIOTIONAL_DISH
"Christmas Memory, A (Truman Capote's 'A Christmas Memory')",002,004,Slt - Individual Portions,Wine - Peller Estates Late,Beans - Black Bean,MAIN_DISH
Sekirei,001,004,Flower - Leather Leaf Fern,Devonshire Cream,Lettuce - Mini Greens,DRINK
"Blood Spattered Bride, The (La novia ensangrentada)",002,004,Oil - Olive,Chinese Foods - Thick Noodles,Juice - Clam,DRINK
The Lunchbox,003,006,Bread Base - Goodhearth,Sprite - 355 Ml,Wine - Red,DRINK
Love Don't Cost a Thing,001,001,Orange Roughy 4/6 Oz,Jagermeister,Pears - Anjou,MAIN_DISH
By the Law,002,006,Bay Leaf Fresh,Flour - Bread,Bamboo Shoots - Sliced,DRINK
Blue,002,002,Lychee,Ecolab - Power Fusion,Table Cloth 54x72 Colour,MAIN_DISH
"Blue Kite, The (Lan feng zheng)",006,003,Lettuce - California Mix,Bar Special K,Tomatoes - Hot House,MAIN_DISH
Sea Fog,004,004,Pasta - Spaghetti,Gooseberry,Raspberries - Fresh,ADDIOTIONAL_DISH
House of the Rising Sun,006,001,Cheese - Asiago,Puree - Blackcurrant,Soup Knorr Chili With Beans,DRINK
Jacques Brel Is Alive and Well and Living in Paris,003,005,Nescafe - Frothy French Vanilla,Egg - Salad Premix,Nut - Pumpkin Seeds,ADDIOTIONAL_DISH
Go Tell the Spartans,006,002,Jameson Irish Whiskey,Cheese - Brie,Sauce - Bernaise,MAIN_DISH
Night Train,001,004,Pork - Chop,Chinese Foods - Chicken,Evaporated Milk - Skim,ADDIOTIONAL_DISH
Paris,006,005,Truffle - Peelings,Coffee Swiss Choc Almond,Garlic - Elephant,DRINK
Hancock,003,001,Vodka - Smirnoff,Carrots - Mini,Initation Crab Meat,ADDIOTIONAL_DISH
Man Is Not a Bird (Covek nije tica),006,006,Pasta - Canelloni,Soup - Cream Of Broccoli,Lobster - Cooked,DRINK
"Angriest Man in Brooklyn, The",004,001,Ecolab Silver Fusion,Soup Campbells Turkey Veg.,Evaporated Milk - Skim,ADDIOTIONAL_DISH
Satan's Blood (Escalofrío),004,001,Beans - Black Bean,Kiwi,Sardines,MAIN_DISH
"Big, Large and Verdone",001,005,Tomatoes - Yellow Hot House,French Kiss Vanilla,Soup - Beef Conomme,MAIN_DISH
"Same River Twice, The",005,005,Tomatoes Tear Drop Yellow,Oil - Margarine,Beef - Cooked,ADDIOTIONAL_DISH
"I, Monster",006,001,Soup - Knorr,Everfresh Products,Tomato - Plum With Basil,MAIN_DISH
First Sunday,005,004,Spice - Montreal Steak Spice,Snapple - Iced Tea Peach,Beef - Salted,ADDIOTIONAL_DISH
Koran by Heart,003,003,Fuji Apples,Squash - Acorn,7up Diet,DRINK
Skyscraper Souls,004,006,Bar Special K,Scallops 60/80 Iqf,Mustard - Dijon,ADDIOTIONAL_DISH
Green Lantern,002,002,Coffee - Almond Amaretto,Wine - Gewurztraminer Pierre,Muffin Mix - Morning Glory,MAIN_DISH
"Children, The",003,005,Soup Bowl Clear 8oz92008,Lemonade - Pineapple Passion,Soup Bowl Clear 8oz92008,MAIN_DISH
Murder on the Orient Express,002,003,Cardamon Ground,Waffle Stix,Cheese - Parmesan Grated,MAIN_DISH
"Kremlin Letter, The",002,002,Tart Shells - Sweet,Allspice - Jamaican,Ketchup - Tomato,DRINK
"Secrets of Jonathan Sperry, The",004,002,Appetizer - Crab And Brie,Wine - Conde De Valdemar,Chicken - Soup Base,MAIN_DISH
"Book of Fate, The (Kohtalon kirja)",003,005,Oregano - Dry,Chips - Miss Vickies,Sardines,MAIN_DISH
Pale Cocoon (Peiru Kokun),006,003,Yogurt - Banana,Pasta - Orzo,Syrup - Monin - Granny Smith,ADDIOTIONAL_DISH
In the Valley of Elah,006,004,Water - Spring Water,Brownies - Two Bite,Ice Cream Bar - Oreo Sandwich,ADDIOTIONAL_DISH
Dare,005,006,Rootbeer,Steampan Lid,Pork - Ground,ADDIOTIONAL_DISH
Tokyo Godfathers,001,006,Cherries - Fresh,Spaghetti Squash,Bread Bowl Plain,MAIN_DISH
Bewitched (Alter Ego),005,003,Pepper - Yellow Bell,Chips - Assorted,Sugar - Cubes,MAIN_DISH
Chapiteau-show (Shapito-shou),004,003,Cleaner - Bleach,Cookie Dough - Oatmeal Rasin,Puree - Blackcurrant,MAIN_DISH
"Scenic Route, The",004,005,Shiro Miso,Oil - Grapeseed Oil,Cheese Cheddar Processed,ADDIOTIONAL_DISH
Whisky Galore,001,005,Coffee Beans - Chocolate,Island Oasis - Sweet And Sour Mix,Beans - Long,DRINK
Acts of Worship ,002,005,Filo Dough,Tobasco Sauce,Sword Pick Asst,ADDIOTIONAL_DISH
Love Finds Andy Hardy,001,001,Eggroll,Nectarines,Coffee - Espresso,ADDIOTIONAL_DISH
C'mon Man,005,002,Napkin White,Wine - Magnotta - Red,Wine - Red,MAIN_DISH
"Last Winter, The",005,001,Bread Ww Cluster,Milk - Buttermilk,Alize Sunset,ADDIOTIONAL_DISH
"Green Room, The (a.k.a. Vanishing Fiancee) (La chambre verte)",004,004,Napkin - Beverage 1 Ply,Veal - Round,Potatoes - Pei 10 Oz,ADDIOTIONAL_DISH
Vivien Leigh: Scarlett and Beyond,005,003,Flower - Daisies,Cheese - Brick With Pepper,Squid - U - 10 Thailand,DRINK
Mixed Blood,005,006,Garlic - Elephant,Veal - Slab Bacon,Star Anise,ADDIOTIONAL_DISH
Little Red Flowers (Kan shang qu hen mei),002,006,V8 - Vegetable Cocktail,Wine - Beringer Founders Estate,Assorted Desserts,DRINK
Quai des Orfèvres (Jenny Lamour),001,005,Bread - Petit Baguette,Pineapple - Canned,Wine - Valpolicella Masi,ADDIOTIONAL_DISH
Forget Me Not,001,002,Potatoes - Idaho 80 Count,Corn Meal,Wine - Guy Sage Touraine,MAIN_DISH
Cabin in the Sky,001,003,Nescafe - Frothy French Vanilla,Soup Campbells Turkey Veg.,Rum - Coconut,DRINK
Love and Honor,003,005,Stock - Veal,Crush - Grape,Nescafe - Frothy French Vanilla,DRINK
Fabled,001,005,Langers - Mango Nectar,Sherry - Dry,Wine - Red,ADDIOTIONAL_DISH
Foreign Intrigue,002,001,Tumeric,Cup - 6oz,Longos - Lasagna Beef,ADDIOTIONAL_DISH
French Fried Vacation 3 (Les bronzés 3: amis pour la vie),006,003,Tart Shells - Sweet,Swordfish Loin Portions,Assorted Desserts,DRINK
"Secrets of Jonathan Sperry, The",001,005,Aromat Spice / Seasoning,Wine - Magnotta - Red,Soup - Beef Conomme,ADDIOTIONAL_DISH
Free Radicals (Böse Zellen),001,004,Table Cloth 54x54 Colour,Pears - Anjou,Kellogs Special K Cereal,ADDIOTIONAL_DISH
1001 Nights,005,002,Wine - Chardonnay Mondavi,Broom And Broom Rack White,Soupfoamcont12oz 112con,ADDIOTIONAL_DISH
Resistance,005,006,Oranges,Kiwi,Ham - Cooked,DRINK
Priest,005,006,Nut - Peanut,Stock - Veal,French Kiss Vanilla,MAIN_DISH
Oliver!,003,004,Spic And Span All Purpose,Oil - Food,Pork - Backfat,DRINK
Bonsái,006,002,Bread Base - Goodhearth,Cheese Cheddar Processed,Roe - White Fish,ADDIOTIONAL_DISH
Twin Falls Idaho,005,002,Beer - Sleemans Honey Brown,Chocolate - Liqueur Cups With Foil,Chip - Potato Dill Pickle,DRINK
Twelve Monkeys (a.k.a. 12 Monkeys),002,003,Vaccum Bag 10x13,Lamb - Whole Head Off,Pears - Anjou,DRINK
"Age of Ignorance, The (a.k.a. Days of Darkness) (L'âge des ténèbres)",001,002,Oats Large Flake,Gherkin - Sour,Sprite,ADDIOTIONAL_DISH
The Perils of Pauline,003,001,Steampan Lid,Sauce - Alfredo,Pasta - Orzo,ADDIOTIONAL_DISH
Skokie ,001,005,Pastry - Trippleberry Muffin - Mini,Instant Coffee,Tuna - Bluefin,MAIN_DISH
Hellboy,003,006,Scallops - In Shell,Wine - Carmenere Casillero Del,Honey - Liquid,MAIN_DISH
Meu Passado Me Condena: O Filme,002,003,Parsley - Dried,Cheese - Brick With Pepper,Truffle Cups Green,MAIN_DISH
Evil (Ondskan),006,002,Beer - Upper Canada Light,Irish Cream - Butterscotch,Juice - Orange 1.89l,ADDIOTIONAL_DISH
"Life of Jesus, The (La vie de Jésus)",003,004,Sugar - Splenda Sweetener,Bacardi Breezer - Tropical,Sage - Fresh,MAIN_DISH
Nazarin (Nazarín),001,006,Yogurt - Banana,Dehydrated Kelp Kombo,Pastry - Butterscotch Baked,MAIN_DISH
Puss in Boots: The Three Diablos,005,003,Lettuce - Red Leaf,Potatoes - Purple,Lettuce - California Mix,ADDIOTIONAL_DISH
Shanghai Dreams (Qing hong),003,002,Milk - 1%,Mustard - Dijon,Pork - Smoked Kassler,ADDIOTIONAL_DISH
Dona Flor and Her Two Husbands (Dona Flor e Seus Dois Maridos),006,004,Chips - Assorted,Beets - Candy Cane,Energy Drink - Franks Original,MAIN_DISH
If I Were You (Se Eu Fosse Você),003,005,Cabbage - Green,Milk - 1%,Banana - Leaves,DRINK
Last Holiday,003,001,Sweet Pea Sprouts,Bay Leaf Fresh,Bread - Petit Baguette,DRINK
Yellow Earth (Huang tu di),001,005,Canada Dry,Tumeric,Fond - Neutral,DRINK
33 Postcards,003,004,Baking Soda,Chocolate - Pistoles,Beer - Paulaner Hefeweisse,DRINK
"Yes Men Fix the World, The",002,005,Muffin Batt - Carrot Spice,Cassis,Pastry - Baked Scones - Mini,ADDIOTIONAL_DISH
"Good Job:  Stories of the FDNY, A",005,004,Rabbit - Whole,Banana - Leaves,Bread - Flat Bread,MAIN_DISH
Hexed,003,001,Sherry - Dry,Lettuce - Frisee,Rice - Wild,DRINK
Student of the Year,002,001,Wine - Peller Estates Late,Syrup - Monin - Granny Smith,Aspic - Clear,DRINK
Contraband,003,002,Soup Campbells Turkey Veg.,Glucose,Watercress,MAIN_DISH
Dadetown,004,004,Ecolab Silver Fusion,Corn Meal,Chip - Potato Dill Pickle,DRINK
"Great Outdoors, The",006,002,Cabbage - Nappa,Beer - Paulaner Hefeweisse,Muffin Mix - Morning Glory,DRINK
Stray Dogs,001,004,Steampan Lid,Tea Peppermint,Corn - Mini,ADDIOTIONAL_DISH
Nothing to Lose,001,004,Beer - Blue,Salami - Genova,Cheese - Cheddarsliced,DRINK
New York Confidential,005,001,Banana - Leaves,Chicken - Leg,Assorted Desserts,MAIN_DISH
"Devil's Rock, The",006,004,Veal - Round,Cut Wakame - Hanawakaba,Juice - Orange 1.89l,ADDIOTIONAL_DISH
"Invention of Lying, The",003,003,Bandage - Finger Cots,Flavouring - Raspberry,Chocolate - Milk,MAIN_DISH
"Covenant, The",004,001,Cheese - Camembert,Calypso - Lemonade,Bar Special K,MAIN_DISH
Blue Collar Comedy Tour: The Movie,006,005,Pastry - Plain Baked Croissant,Truffle - Peelings,Horseradish Root,MAIN_DISH
"Sterile Cuckoo, The",006,005,Soup - Campbells Chicken,Pepper - Yellow Bell,Apricots - Dried,MAIN_DISH
For Your Consideration,002,006,Scallops - Live In Shell,Graham Cracker Mix,Juice - Apple,MAIN_DISH
I Know Who Killed Me,006,004,Jam - Strawberry,Energy Drink Bawls,Soup - Campbells,MAIN_DISH
Highwaymen,004,002,Pur Value,Lettuce - Frisee,Yeast Dry - Fermipan,MAIN_DISH
